"Date","Americas_chge","Americas_7d_ave","Europe_chge","Europe_7d_ave","Asia_chge","Asia_7d_ave","Africa_chge","Africa_7d_ave","Oceania_chge","Oceania_7d_ave","World_chge","World_7d_ave"
2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-23,0,NA,0,NA,98,NA,0,NA,0,NA,98,NA
2020-01-24,1,NA,2,NA,281,NA,0,NA,0,NA,286,NA
2020-01-25,0,NA,1,NA,491,NA,0,NA,0,NA,492,NA
2020-01-26,4,NA,0,NA,676,NA,0,NA,4,NA,685,NA
2020-01-27,0,NA,1,NA,806,NA,0,NA,1,NA,809,NA
2020-01-28,1,NA,4,NA,2643,NA,0,NA,0,NA,2651,NA
2020-01-29,1,1,2,1.42857142857143,585,797.142857142857,0,0,1,0.857142857142857,589,801.428571428571
2020-01-30,0,1,0,1.42857142857143,2064,1078,0,0,3,1.28571428571429,2068,1082.85714285714
2020-01-31,4,1.42857142857143,7,2.14285714285714,1680,1277.85714285714,0,0,0,1.28571428571429,1692,1283.71428571429
2020-02-01,0,1.42857142857143,6,2.85714285714286,2102,1508,0,0,3,1.71428571428571,2111,1515
2020-02-02,0,0.857142857142857,2,3.14285714285714,4747,2089.57142857143,0,0,0,1.14285714285714,4749,2095.57142857143
2020-02-03,3,1.28571428571429,8,4.14285714285714,3089,2415.71428571429,0,0,0,1,3100,2422.85714285714
2020-02-04,0,1.14285714285714,1,3.71428571428571,4008,2610.71428571429,0,0,1,1.14285714285714,4011,2617.14285714286
2020-02-05,1,1.14285714285714,1,3.57142857142857,3743,3061.85714285714,0,0,0,1,3745,3068
2020-02-06,1,1.28571428571429,0,3.57142857142857,3153,3217.42857142857,0,0,1,0.714285714285714,3160,3224
2020-02-07,2,1,2,2.85714285714286,3527,3481.28571428571,0,0,1,0.857142857142857,3593,3495.57142857143
2020-02-08,0,1,9,3.28571428571429,2724,3570.14285714286,0,0,0,0.428571428571429,2734,3584.57142857143
2020-02-09,0,1,3,3.42857142857143,3023,3323.85714285714,0,0,0,0.428571428571429,3030,3339
2020-02-10,0,0.571428571428571,0,2.28571428571429,2538,3245.14285714286,0,0,0,0.428571428571429,2609,3268.85714285714
2020-02-11,1,0.714285714285714,3,2.57142857142857,2038,2963.71428571429,0,0,0,0.285714285714286,2042,2987.57142857143
2020-02-12,0,0.571428571428571,1,2.57142857142857,377,2482.85714285714,0,0,0,0.285714285714286,418,2512.28571428571
2020-02-13,1,0.571428571428571,1,2.71428571428571,15151,4196.85714285714,0,0,0,0.142857142857143,15153,4225.57142857143
2020-02-14,0,0.285714285714286,1,2.57142857142857,6482,4619,1,0.142857142857143,0,0,6527,4644.71428571429
2020-02-15,0,0.285714285714286,1,1.42857142857143,2075,4526.28571428571,0,0.142857142857143,0,0,2143,4560.28571428571
2020-02-16,0,0.285714285714286,0,1,2111,4396,0,0.142857142857143,0,0,2183,4439.28571428571
